parameter,value
timestamp,2025-11-02 14:14:38
model_architecture,mnist_quantization
input_shape,(32, 20, 1)
nb_classes,100
data_sources,Tenth-of-step-of-a-meter-digit(1.0);real_integra_bad_predictions(1.0);real_integra(0.7);static_augmentation(0.6)
batch_size,32
epochs,200
learning_rate,0.001
use_early_stopping,True
early_stopping_monitor,val_accuracy
early_stopping_patience,30
lr_scheduler_monitor,val_loss
lr_scheduler_patience,3
lr_scheduler_factor,0.5
QUANTIZE_MODEL,True
esp_dl_quantize,False
quantize_num_samples,1000
use_gpu,False
keras_test_accuracy,0.7648
tflite_test_accuracy,0.7570
best_val_accuracy,0.7690
quantized_model_size_kb,71.7
float_model_size_kb,246.4
training_time,0:22:49.769912
optimizer,rmsprop
