Class,Total,Accuracy
0,216,0.0000
1,129,0.0000
2,199,0.0000
3,185,0.0000
4,131,0.0153
5,192,0.0000
6,135,0.0000
7,115,0.0000
8,162,0.0000
9,158,0.0000
10,104,0.0000
11,74,0.0000
12,62,0.0000
13,88,0.0000
14,89,0.0000
15,84,0.0000
16,101,0.0000
17,100,0.0000
18,113,0.0000
19,121,0.0000
20,110,0.0000
21,90,0.0000
22,87,0.0345
23,94,0.0000
24,89,0.0000
25,79,0.0253
26,100,0.0000
27,111,0.0000
28,125,0.0000
29,133,0.0000
30,144,0.0278
31,67,0.0000
32,63,0.0000
33,92,0.0000
34,92,0.0000
35,105,0.0000
36,109,0.0000
37,91,0.0000
38,95,0.0000
39,129,0.0000
40,132,0.0000
41,52,0.0769
42,52,0.0000
43,95,0.0211
44,103,0.0000
45,91,0.0110
46,116,0.0000
47,108,0.0000
48,108,0.0000
49,111,0.0000
50,143,0.0000
51,70,0.0000
52,77,0.0000
53,121,0.0000
54,88,0.0000
55,102,0.0000
56,131,0.0000
57,138,0.0145
58,168,0.0000
59,111,0.0000
60,127,0.1102
61,67,0.0000
62,72,0.0000
63,105,0.0000
64,124,0.0000
65,118,0.0000
66,95,0.0000
67,98,0.0000
68,97,0.0825
69,107,0.0000
70,111,0.0180
71,74,0.0000
72,55,0.4909
73,79,0.0000
74,92,0.0000
75,110,0.0000
76,106,0.0000
77,91,0.0000
78,112,0.0000
79,161,0.0000
80,120,0.0000
81,97,0.0000
82,70,0.0000
83,96,0.0000
84,88,0.0000
85,100,0.0000
86,113,0.0000
87,130,0.0000
88,109,0.0000
89,132,0.0000
90,105,0.0000
91,59,0.0000
92,77,0.0000
93,54,0.0000
94,92,0.0000
95,94,0.0000
96,118,0.0000
97,112,0.1786
98,139,0.0000
99,198,0.0000
