parameter,value
timestamp,2025-10-24 19:24:14
model_architecture,esp_quantization_ready
input_shape,(32, 20, 1)
nb_classes,10
data_sources,Tenth-of-step-of-a-meter-digit(1.0)
batch_size,32
epochs,200
learning_rate,0.001
use_early_stopping,True
early_stopping_monitor,val_accuracy
early_stopping_patience,30
lr_scheduler_monitor,val_loss
lr_scheduler_patience,3
lr_scheduler_factor,0.5
QUANTIZE_MODEL,True
esp_dl_quantize,False
quantize_num_samples,1000
use_gpu,False
keras_test_accuracy,0.9180
tflite_test_accuracy,0.9128
best_val_accuracy,0.9227
quantized_model_size_kb,34.5
float_model_size_kb,98.6
training_time,0:14:17.901130
optimizer,rmsprop
