trial_id,optimizer,learning_rate,batch_size,gamma,alpha,label_smoothing,dropout_rate,checkpoint_path,val_accuracy,status,score,search_type,model_architecture,timestamp
13,adamw,0.0001,64,2.0,0.45,0.0,0.0,exported_models/10cls_RGB/checkpoint_epoch_065_acc_0.9879.keras,0.9883419871330261,COMPLETED,0.9883419871330261,guaranteed_unique,digit_recognizer_v16,2026-05-09 14:53:50
24,adam,0.0002,64,1.2,0.45,0.0,0.0,exported_models/10cls_RGB/checkpoint_epoch_065_acc_0.9879.keras,0.9883027076721191,COMPLETED,0.9883027076721191,guaranteed_unique,digit_recognizer_v16,2026-05-09 14:53:50
5,rmsprop,0.0005,32,2.0,0.45,0.03,0.0,exported_models/10cls_RGB/checkpoint_epoch_065_acc_0.9879.keras,0.9882634878158569,COMPLETED,0.9882634878158569,guaranteed_unique,digit_recognizer_v16,2026-05-09 14:53:50
28,rmsprop,0.0001,64,2.0,0.45,0.03,0.5,exported_models/10cls_RGB/checkpoint_epoch_065_acc_0.9879.keras,0.98822420835495,COMPLETED,0.98822420835495,guaranteed_unique,digit_recognizer_v16,2026-05-09 14:53:50
16,sgd,0.001,64,1.5,0.45,0.0,0.5,exported_models/10cls_RGB/checkpoint_epoch_065_acc_0.9879.keras,0.9881064295768738,COMPLETED,0.9881064295768738,guaranteed_unique,digit_recognizer_v16,2026-05-09 14:53:50
1,sgd,0.0001,32,1.2,0.25,0.0,0.25,exported_models/10cls_RGB/checkpoint_epoch_065_acc_0.9879.keras,0.9880279302597046,COMPLETED,0.9880279302597046,guaranteed_unique,digit_recognizer_v16,2026-05-09 14:53:50
30,nadam,0.0002,64,3.5,0.25,0.05,0.5,exported_models/10cls_RGB/checkpoint_epoch_065_acc_0.9879.keras,0.9879887104034424,COMPLETED,0.9879887104034424,guaranteed_unique,digit_recognizer_v16,2026-05-09 14:53:50
8,sgd,0.0005,32,3.5,0.45,0.05,0.0,exported_models/10cls_RGB/checkpoint_epoch_065_acc_0.9879.keras,0.9879887104034424,COMPLETED,0.9879887104034424,guaranteed_unique,digit_recognizer_v16,2026-05-09 14:53:50
11,sgd,0.0002,64,1.2,0.25,0.03,0.0,exported_models/10cls_RGB/checkpoint_epoch_065_acc_0.9879.keras,0.9879887104034424,COMPLETED,0.9879887104034424,guaranteed_unique,digit_recognizer_v16,2026-05-09 14:53:50
22,sgd,0.0002,32,1.5,0.25,0.0,0.25,exported_models/10cls_RGB/checkpoint_epoch_065_acc_0.9879.keras,0.9879494309425354,COMPLETED,0.9879494309425354,guaranteed_unique,digit_recognizer_v16,2026-05-09 14:53:50
15,sgd,0.0002,64,1.2,0.25,0.05,0.25,exported_models/10cls_RGB/checkpoint_epoch_065_acc_0.9879.keras,0.9879494309425354,COMPLETED,0.9879494309425354,guaranteed_unique,digit_recognizer_v16,2026-05-09 14:53:50
6,sgd,0.0005,32,4.5,0.25,0.03,0.0,exported_models/10cls_RGB/checkpoint_epoch_065_acc_0.9879.keras,0.9879102110862732,COMPLETED,0.9879102110862732,guaranteed_unique,digit_recognizer_v16,2026-05-09 14:53:50
26,adam,0.0002,32,1.5,0.45,0.0,0.25,exported_models/10cls_RGB/checkpoint_epoch_065_acc_0.9879.keras,0.9878709316253662,COMPLETED,0.9878709316253662,guaranteed_unique,digit_recognizer_v16,2026-05-09 14:53:50
10,sgd,0.0001,64,3.5,0.45,0.05,0.25,exported_models/10cls_RGB/checkpoint_epoch_065_acc_0.9879.keras,0.9878709316253662,COMPLETED,0.9878709316253662,guaranteed_unique,digit_recognizer_v16,2026-05-09 14:53:50
21,adam,0.0002,64,3.5,0.25,0.05,0.0,exported_models/10cls_RGB/checkpoint_epoch_065_acc_0.9879.keras,0.98775315284729,COMPLETED,0.98775315284729,guaranteed_unique,digit_recognizer_v16,2026-05-09 14:53:50
20,adam,0.0002,64,4.5,0.25,0.0,0.0,exported_models/10cls_RGB/checkpoint_epoch_065_acc_0.9879.keras,0.9875569343566895,COMPLETED,0.9875569343566895,guaranteed_unique,digit_recognizer_v16,2026-05-09 14:53:50
4,nadam,0.0002,32,4.5,0.25,0.0,0.0,exported_models/10cls_RGB/checkpoint_epoch_065_acc_0.9879.keras,0.9874784350395203,COMPLETED,0.9874784350395203,guaranteed_unique,digit_recognizer_v16,2026-05-09 14:53:50
2,nadam,0.0005,64,3.0,0.45,0.0,0.25,exported_models/10cls_RGB/checkpoint_epoch_065_acc_0.9879.keras,0.9863793253898621,COMPLETED,0.9863793253898621,guaranteed_unique,digit_recognizer_v16,2026-05-09 14:53:50
19,nadam,0.0005,64,3.5,0.25,0.05,0.25,exported_models/10cls_RGB/checkpoint_epoch_065_acc_0.9879.keras,0.9859475493431091,COMPLETED,0.9859475493431091,guaranteed_unique,digit_recognizer_v16,2026-05-09 14:53:50
7,adamw,0.0005,32,3.5,0.45,0.03,0.25,exported_models/10cls_RGB/checkpoint_epoch_065_acc_0.9879.keras,0.9852802753448486,COMPLETED,0.9852802753448486,guaranteed_unique,digit_recognizer_v16,2026-05-09 14:53:50
9,adam,0.001,64,2.0,0.25,0.03,0.0,exported_models/10cls_RGB/checkpoint_epoch_065_acc_0.9879.keras,0.9833961129188538,COMPLETED,0.9833961129188538,guaranteed_unique,digit_recognizer_v16,2026-05-09 14:53:50
17,rmsprop,0.001,32,2.0,0.25,0.0,0.5,exported_models/10cls_RGB/checkpoint_epoch_065_acc_0.9879.keras,0.9826503396034241,COMPLETED,0.9826503396034241,guaranteed_unique,digit_recognizer_v16,2026-05-09 14:53:50
3,adamw,0.001,32,1.2,0.45,0.0,0.25,exported_models/10cls_RGB/checkpoint_epoch_065_acc_0.9879.keras,0.9819045662879944,COMPLETED,0.9819045662879944,guaranteed_unique,digit_recognizer_v16,2026-05-09 14:53:50
25,adamw,0.001,64,3.5,0.25,0.05,0.25,exported_models/10cls_RGB/checkpoint_epoch_065_acc_0.9879.keras,0.9811587333679199,COMPLETED,0.9811587333679199,guaranteed_unique,digit_recognizer_v16,2026-05-09 14:53:50
23,adamw,0.001,64,4.5,0.45,0.0,0.5,exported_models/10cls_RGB/checkpoint_epoch_065_acc_0.9879.keras,0.980766236782074,COMPLETED,0.980766236782074,guaranteed_unique,digit_recognizer_v16,2026-05-09 14:53:50
12,adamw,0.001,64,3.0,0.45,0.0,0.5,exported_models/10cls_RGB/checkpoint_epoch_065_acc_0.9879.keras,0.9799419045448303,COMPLETED,0.9799419045448303,guaranteed_unique,digit_recognizer_v16,2026-05-09 14:53:50
14,adam,0.001,32,4.5,0.45,0.0,0.5,exported_models/10cls_RGB/checkpoint_epoch_065_acc_0.9879.keras,0.978371798992157,COMPLETED,0.978371798992157,guaranteed_unique,digit_recognizer_v16,2026-05-09 14:53:50
18,adam,0.001,32,4.5,0.45,0.0,0.0,exported_models/10cls_RGB/checkpoint_epoch_065_acc_0.9879.keras,0.9775082468986511,COMPLETED,0.9775082468986511,guaranteed_unique,digit_recognizer_v16,2026-05-09 14:53:50
27,rmsprop,0.0002,64,0.0,0.45,0.0,0.0,exported_models/10cls_RGB/checkpoint_epoch_065_acc_0.9879.keras,0.0,FAILED,0.0,guaranteed_unique,digit_recognizer_v16,2026-05-09 14:53:50
29,sgd,0.0005,64,0.0,0.45,0.05,0.25,exported_models/10cls_RGB/checkpoint_epoch_065_acc_0.9879.keras,0.0,FAILED,0.0,guaranteed_unique,digit_recognizer_v16,2026-05-09 14:53:50
