parameter,value
timestamp,2025-11-01 18:06:19
model_architecture,mnist_quantization
input_shape,(32, 20, 3)
nb_classes,10
data_sources,Tenth-of-step-of-a-meter-digit(1.0);real_integra_bad_predictions(1.0);real_integra(0.7);static_augmentation(0.6)
batch_size,32
epochs,200
learning_rate,0.001
use_early_stopping,True
early_stopping_monitor,val_accuracy
early_stopping_patience,30
lr_scheduler_monitor,val_loss
lr_scheduler_patience,3
lr_scheduler_factor,0.5
QUANTIZE_MODEL,True
esp_dl_quantize,False
quantize_num_samples,1000
use_gpu,False
keras_test_accuracy,0.9655
tflite_test_accuracy,0.9659
best_val_accuracy,0.9620
quantized_model_size_kb,64.2
float_model_size_kb,225.8
training_time,0:19:18.843711
optimizer,rmsprop
