Model Name,10cls_GRAY Parameters,10cls_GRAY Size_KB,10cls_GRAY Accuracy,10cls_GRAY Inference_Time_ms,10cls_GRAY Inferences_per_second,10cls_GRAY Tested_Images,10cls_RGB Parameters,10cls_RGB Size_KB,10cls_RGB Accuracy,10cls_RGB Inference_Time_ms,10cls_RGB Inferences_per_second,10cls_RGB Tested_Images,100cls_GRAY Parameters,100cls_GRAY Size_KB,100cls_GRAY Accuracy,100cls_GRAY Inference_Time_ms,100cls_GRAY Inferences_per_second,100cls_GRAY Tested_Images,100cls_RGB Parameters,100cls_RGB Size_KB,100cls_RGB Accuracy,100cls_RGB Inference_Time_ms,100cls_RGB Inferences_per_second,100cls_RGB Tested_Images
digit_recognizer_v15,109100.0,79.3,0.9908,0.19,5211.0,56375.0,140000.0,100.0,0.9886,0.18,5506.0,56375.0,113700.0,86.0,0.9018,0.21,4788.0,59782.0,145400.0,107.4,0.9139,0.24,4140.0,59782.0
digit_recognizer_v16,244000.0,128.6,0.9904,0.27,3730.0,56375.0,246800.0,128.8,0.9918,0.2,4960.0,56375.0,253000.0,139.5,0.926,0.28,3558.0,59782.0,255800.0,139.7,0.9419,0.29,3456.0,59782.0
digit_recognizer_v19,284300.0,131.9,0.9892,0.29,3494.0,56375.0,287200.0,132.2,0.9879,0.3,3286.0,56375.0,296200.0,145.6,0.9163,0.3,3371.0,59782.0,299100.0,146.0,0.924,0.3,3328.0,59782.0
digit_recognizer_v18,210200.0,97.1,0.9886,0.23,4443.0,56375.0,213000.0,97.4,0.9895,0.24,4131.0,56375.0,220600.0,109.4,0.9022,0.23,4263.0,59782.0,223400.0,109.7,0.9043,0.24,4200.0,59782.0
digit_recognizer_v4,79700.0,61.4,0.9864,0.14,7213.0,56375.0,104700.0,78.3,0.9876,0.16,6121.0,56375.0,85800.0,69.5,0.896,0.18,5465.0,59782.0,111500.0,87.1,0.9054,0.17,5766.0,59782.0
digit_recognizer_v17,172900.0,70.7,0.9852,0.2,4928.0,56375.0,175700.0,71.0,0.9867,0.16,6256.0,56375.0,180400.0,80.2,0.8904,0.21,4740.0,59782.0,183300.0,80.5,0.8852,0.22,4626.0,59782.0
digit_recognizer_v12,490000.0,406.7,0.9816,0.61,1634.0,56375.0,493100.0,407.3,0.9829,0.51,1942.0,56375.0,496100.0,414.8,0.9013,0.7,1434.0,59782.0,499300.0,415.4,0.894,0.68,1470.0,59782.0
digit_recognizer_v3,118400.0,69.4,0.9746,0.15,6812.0,56375.0,71200.0,38.4,0.9729,0.21,4695.0,56375.0,121600.0,74.6,0.8252,0.17,5921.0,59782.0,75900.0,45.1,0.8345,0.22,4541.0,59782.0
digit_recognizer_v7,75600.0,46.7,0.9731,0.12,8690.0,56375.0,78600.0,47.2,0.9698,0.16,6423.0,56375.0,82400.0,55.5,0.8024,0.17,6018.0,59782.0,85500.0,56.0,0.8057,0.16,6162.0,59782.0
original_haverland,234500.0,203.3,0.9659,0.17,6012.0,56375.0,240200.0,203.8,0.9663,0.23,4286.0,56375.0,257899.0,228.2,0.8451,0.23,4308.0,59782.0,263600.0,228.8,0.8465,0.24,4190.0,59782.0
digit_recognizer_v6,61500.0,36.5,0.9385,0.15,6534.0,56375.0,79500.0,46.9,0.9629,0.25,4047.0,56375.0,171800.0,132.5,0.9091,0.43,2312.0,59782.0,209300.0,160.8,0.9055,0.51,1965.0,59782.0
